name,NugGene
ADORA2A,FALSE
ANXA7,FALSE
APOE,FALSE
APP,FALSE
ATP6V1B2,TRUE
ATP6V1E1,TRUE
ATXN2,FALSE
ATXN3,FALSE
BDNF,FALSE
CALB1,FALSE
CASP3,FALSE
CASP9,FALSE
CAT,FALSE
CDK5,FALSE
CHM,FALSE
CNR1,FALSE
CNTF,FALSE
DNAJC13,FALSE
DRD1,FALSE
DRD2,FALSE
EIF1B,TRUE
EIF4EBP1,TRUE
EPS15,TRUE
GABARAPL2,TRUE
GAD1,FALSE
GBA,FALSE
GCH1,FALSE
GDNF,FALSE
GFRA1,FALSE
GPR37,FALSE
GRIN2B,FALSE
GRM5,FALSE
GSTO1,FALSE
HLTF,TRUE
HRH3,FALSE
HSPA8,FALSE
HSPA9,FALSE
HTT,FALSE
IARS2,FALSE
LRRK1,FALSE
LRRK2,FALSE
MAP2,FALSE
MAPK14,FALSE
MAPK8,FALSE
MAPT,FALSE
MDH1,TRUE
MRPL15,TRUE
MSX1,FALSE
MT-ND1,FALSE
NDUFS4,FALSE
NME1,TRUE
NNMT,FALSE
NQO1,FALSE
NRTN,FALSE
NTF3,FALSE
PARK7,TRUE
PDHB,TRUE
PDYN,FALSE
PINK1,FALSE
PITX3,FALSE
PPIA,TRUE
PPP2CA,TRUE
PRKN,FALSE
PSMA7,TRUE
PSMC5,TRUE
PSMC6,TRUE
PSMD12,TRUE
PSMD6,TRUE
PYCARD,TRUE
RAB1A,TRUE
RNF19A,FALSE
RTN4,TRUE
SDHA,TRUE
SEPT4,FALSE
SFXN1,TRUE
SIAH1,FALSE
SLC18A2,FALSE
SLC6A3,FALSE
SLC6A4,FALSE
SNAP91,FALSE
SNCA,FALSE
SNCAIP,FALSE
SNCB,FALSE
SNCG,FALSE
SOD1,FALSE
SQSTM1,FALSE
STRAP,TRUE
STUB1,FALSE
STXBP1,TRUE
TBP,FALSE
TERF2IP,TRUE
TPH1,FALSE
TRIM37,TRUE
TXNL1,TRUE
UBE2E3,TRUE
UBE2K,TRUE
UCHL1,FALSE
UQCRC1,TRUE
UQCRC2,TRUE
UQCRFS1,TRUE
VAV1,TRUE
VDR,TRUE
VPS35,FALSE
YARS,TRUE