Gene1,Gene2,corMean
NR4A1,HLTF,-0.609801652
BMP8B,HLTF,-0.52191852
UQCRC2,HLTF,0.613056859
UBE2V2,HLTF,0.608315374
TERF2IP,HLTF,0.570879852
SNAP91,HLTF,0.577823993
RAB22A,HLTF,0.593449329
RAB1A,HLTF,0.499690514
PDHB,HLTF,0.509086442
NPTN,HLTF,0.596242212
DDX1,HLTF,0.633087888
ATP6V1H,HLTF,0.641094015
SF3A2,PTBP2,-0.537827302
YARS,UBE2E3,0.460136975
RRAS,PTBP2,-0.538816184
PDHA1,UBE2E3,0.601327533
PRDM4,EIF4EBP1,-0.533556689
MDH1,UBE2E3,0.786044602
COX5A,UBE2E3,0.593624644
SDHA,XRCC2,-0.601965857
ATP6V1E1,UBE2E3,0.567079071
PARK7,XRCC2,-0.63577263
UQCRC2,TMEM30A,0.752250503
SRPRB,TMEM30A,0.549442872
LYL1,BTBD3,-0.565217917
PIK3CB,TMEM30A,0.590737353
FOSL1,ANXA7,-0.5318852
PGK1,TMEM30A,0.636263601
NME1,TMEM30A,0.631904703
ATP6V1E1,TMEM30A,0.607721557
TRIM37,SUCLA2,0.784268442
SNAP91,SUCLA2,0.70245503
TRIM37,UBE2K,0.657165229
PIK3CB,SUCLA2,0.722704972
TRIM37,LAPTM4B,0.581818086
GABARAPL2,SUCLA2,0.65190133
ATP6V1E1,SUCLA2,0.656574728
SRPRB,DLD,0.588830185
FOSL1,PSMC6,-0.727281068
SUMO1,PSMC6,0.647962213
PARK7,PSMC6,0.555284391
ATP6V1E1,PSMC6,0.616909818
SFXN1,STXBP1,0.499832225
SDHA,PPP2CA,0.568202014
SFXN1,STRAP,0.581358886
ATP6V1E1,PPP2CA,0.621934833
SFXN1,RAB11A,0.527964745
ATP6V1E1,PPIA,0.70732454
TRIM37,PSMD12,0.714856996
SRPRB,PSMD12,0.505091765
SNAP91,PSMD12,0.78626558
SFXN1,PSMD12,0.662581181
SFXN1,IARS,0.514584273
SFXN1,EPS15,0.497028208
SFXN1,ACLY,0.525900029
SDHA,UQCRC1,0.688568254
PSMC5,UQCRC1,0.708610247
SDHA,PSMD6,0.56428455
PRDM4,PSMD6,0.512970994
RUNX2,VDR,0.678688802
PLA2G2A,VDR,0.53256643
PIK3CB,TXNL1,0.634791493
SRPRB,REEP5,0.546324667
PIK3CB,REEP5,0.700376124
PIK3CB,CUL3,0.656994724
SRPRB,ATP6V1B2,0.603038721
PIK3CB,ATP6V1B2,0.635679404
PIK3CB,RTN4,0.601045933
PDHA1,RTN4,0.569038956
PARK7,UQCRFS1,0.750866483
PARK7,RAN,0.648157268
PSMC5,RAB22A,0.591835431
PARK7,RAB22A,0.681043971
PARK7,MAP2K1,0.546097373
PARK7,EIF1B,0.564937383
RRAS,CYCS,-0.492894573
LYL1,CYCS,-0.616587204
FOSL1,CYCS,-0.660799107
UQCRFS1,CYCS,0.635911063
PARK7,CYCS,0.530456628
PARK7,COPS5,0.7165463
PIK3CB,NPTN,0.768609484
PSMC5,IARS2,0.644315622
PSMA7,IARS2,0.515144859
PARK7,IARS2,0.63326976
NDUFA8,IARS2,0.678280908
UBE2V2,BCAS2,0.780885863
RTCA,BCAS2,0.723645568
MRPL15,BCAS2,0.651459696
MDH1,NDUFA5,0.685615072
PYCARD,VAV1,0.700900117
LYL1,VAV1,0.545488459
LYL1,ADSS,-0.522387124
ICK,ADSS,0.554652353
RUNX2,HLTF,-0.508621599