Rank,ID,Entrez ID,Master molecule name,Maximal radius,Reached from set,Reachable total,Score,FDR,Z-Score,Ranks sum,Hits,Hit names
1,P15408,2355,fosl2,4,29,3272,0.45623237,0.011,2.9956536,28,"[""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""29108"",""310"",""3164"",""4591"",""4830"",""5230"",""5291"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""6812"",""7336"",""7341"",""7384"",""7409"",""8061"",""8452"",""860"",""8803"",""9892""]","[""anxa7"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""pik3cb"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""uqcrc1"",""vav1""]"
2,P15407,8061,fosl1,4,30,3322,0.47385836,0.017,2.3904474,50,"[""10286"",""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""29108"",""310"",""3164"",""4591"",""4830"",""5230"",""5291"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""6812"",""7336"",""7341"",""7384"",""7409"",""8061"",""8452"",""860"",""8803"",""9892""]","[""anxa7"",""bcas2"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""pik3cb"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""uqcrc1"",""vav1""]"
3,Q9P0U3,29843,senp1,4,29,3178,0.42019632,0.018,2.5045416,54,"[""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""29108"",""310"",""3164"",""4591"",""4830"",""5230"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""6812"",""7336"",""7341"",""7384"",""7409"",""7516"",""8061"",""8452"",""860"",""8803"",""9892""]","[""anxa7"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""uqcrc1"",""vav1"",""xrcc2""]"
4,O60641,9892,snap91,4,24,2815,0.36134526,0.007,3.8716817,61,"[""10987"",""11315"",""1978"",""2060"",""22858"",""29108"",""310"",""3164"",""4591"",""5230"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""7336"",""7341"",""7409"",""8061"",""8452"",""860"",""8803"",""9892""]","[""anxa7"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nr4a1"",""park7"",""pgk1"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""runx2"",""snap91"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""vav1""]"
5,P55789,2671,gfer,4,31,3385,0.4789119,0.017,2.1622481,63,"[""10286"",""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""29108"",""310"",""3164"",""4591"",""4830"",""5230"",""5291"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""6812"",""7336"",""7341"",""7384"",""7409"",""8061"",""8452"",""860"",""8766"",""8803"",""9892""]","[""anxa7"",""bcas2"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""pik3cb"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""rab11a"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""uqcrc1"",""vav1""]"
6,Q14108,950,scarb2,4,29,3291,0.41845724,0.022,2.315261,63,"[""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""29108"",""310"",""3164"",""4591"",""4830"",""5230"",""5291"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""6812"",""7336"",""7341"",""7384"",""7409"",""8061"",""8452"",""860"",""8803"",""9892""]","[""anxa7"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""pik3cb"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""uqcrc1"",""vav1""]"
7,O00255,4221,men1,4,29,3383,0.51593804,0.02,2.049837,67,"[""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""29108"",""310"",""3164"",""4591"",""4830"",""5230"",""5291"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""6812"",""7336"",""7341"",""7384"",""7409"",""8061"",""8452"",""860"",""8803"",""9892""]","[""anxa7"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""pik3cb"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""uqcrc1"",""vav1""]"
8,P17535,3727,jund,4,31,3421,0.5059578,0.012,2.0940685,67,"[""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""29108"",""310"",""3164"",""4591"",""4830"",""5230"",""5291"",""54205"",""5478"",""5515"",""5604"",""5688"",""57142"",""5901"",""6596"",""6812"",""7336"",""7341"",""7384"",""7409"",""8061"",""8452"",""860"",""8803"",""9892""]","[""anxa7"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""pik3cb"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""ran"",""rtn4"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""uqcrc1"",""vav1""]"
9,Q13586,6786,stim1,4,27,2956,0.3815989,0.021,2.781396,68,"[""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""29108"",""3164"",""4591"",""4830"",""5230"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""6812"",""7336"",""7341"",""7409"",""7516"",""8061"",""8452"",""860"",""8803"",""9892""]","[""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""vav1"",""xrcc2""]"
10,P46060,5905,rangap1,4,25,2472,0.32363468,0.013,3.428812,70,"[""10987"",""11315"",""1978"",""2060"",""3164"",""4591"",""4830"",""5230"",""54205"",""5478"",""5515"",""5604"",""5688"",""5901"",""6596"",""6812"",""7336"",""7341"",""7409"",""7516"",""8061"",""8452"",""860"",""8803"",""9892""]","[""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""map2k1"",""nme1"",""nr4a1"",""park7"",""pgk1"",""ppia"",""ppp2ca"",""psma7"",""ran"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""vav1"",""xrcc2""]"
11,P02008,3050,hbz,4,29,3271,0.4063715,0.018,2.2574213,72,"[""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""29108"",""310"",""3164"",""4591"",""4830"",""5230"",""5291"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""6812"",""7336"",""7341"",""7384"",""7409"",""8061"",""8452"",""860"",""8803"",""9892""]","[""anxa7"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""pik3cb"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""uqcrc1"",""vav1""]"
12,Q9NSC2,6299,sall1,4,27,2779,0.3508725,0.016,3.0232835,73,"[""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""3164"",""4591"",""5230"",""54205"",""5478"",""5515"",""5604"",""5688"",""57142"",""6596"",""6812"",""7336"",""7341"",""7384"",""7409"",""7516"",""8061"",""8452"",""860"",""8803"",""9892""]","[""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""ppia"",""ppp2ca"",""psma7"",""rtn4"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""uqcrc1"",""vav1"",""xrcc2""]"
13,Q92905,10987,cops5,4,31,3412,0.49729416,0.025,2.012478,74,"[""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""29108"",""310"",""3164"",""4591"",""4830"",""5230"",""5291"",""54205"",""5478"",""5515"",""5604"",""5688"",""57142"",""5901"",""6596"",""6812"",""7336"",""7341"",""7384"",""7409"",""8061"",""8452"",""860"",""8803"",""9892""]","[""anxa7"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""pik3cb"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""ran"",""rtn4"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""uqcrc1"",""vav1""]"
14,P52564,5608,map2k6,4,31,3420,0.50950277,0.022,2.0053797,75,"[""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""29108"",""310"",""3164"",""4591"",""4830"",""5230"",""5291"",""54205"",""5478"",""5515"",""5604"",""5688"",""57142"",""5901"",""6596"",""6812"",""7336"",""7341"",""7384"",""7409"",""8061"",""8452"",""860"",""8803"",""9892""]","[""anxa7"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""pik3cb"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""ran"",""rtn4"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""uqcrc1"",""vav1""]"
15,P15531,4830,nme1,4,24,2569,0.32074565,0.022,3.0976307,76,"[""10987"",""1978"",""2060"",""22858"",""27020"",""29108"",""3164"",""4591"",""4830"",""5230"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""6812"",""7336"",""7341"",""7409"",""8061"",""860"",""8803"",""9892""]","[""cops5"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""pgk1"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""vav1""]"
16,Q9HAU4,64750,smurf2,4,28,3080,0.39468634,0.036,2.3077555,76,"[""10987"",""11315"",""1978"",""2060"",""22858"",""29108"",""310"",""3164"",""4591"",""4830"",""5230"",""5291"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""6812"",""7336"",""7341"",""7384"",""7409"",""8061"",""8452"",""860"",""8803"",""9892""]","[""anxa7"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nr4a1"",""park7"",""pgk1"",""pik3cb"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""uqcrc1"",""vav1""]"
17,P11279,3916,lamp1,4,30,3275,0.40815946,0.022,2.1737833,77,"[""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""29108"",""310"",""3164"",""4591"",""4830"",""5230"",""5291"",""54205"",""5478"",""5515"",""5604"",""5688"",""5901"",""6596"",""6812"",""7336"",""7341"",""7384"",""7409"",""8061"",""8452"",""860"",""8803"",""9892""]","[""anxa7"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""pik3cb"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""ran"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""uqcrc1"",""vav1""]"
18,Q14190,6493,sim2,4,28,3121,0.3940234,0.026,2.3000965,79,"[""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""29108"",""3164"",""4591"",""4830"",""5230"",""5291"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""6812"",""7336"",""7341"",""7409"",""7516"",""8061"",""8452"",""860"",""8803"",""9892""]","[""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""pik3cb"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""vav1"",""xrcc2""]"
19,O43541,4091,smad6,4,27,2952,0.38158953,0.032,2.5894656,80,"[""10987"",""11315"",""1978"",""2060"",""22858"",""29108"",""310"",""3164"",""4591"",""4830"",""5230"",""5291"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""6812"",""7336"",""7341"",""7409"",""8061"",""8452"",""860"",""8803"",""9892""]","[""anxa7"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nr4a1"",""park7"",""pgk1"",""pik3cb"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""vav1""]"
20,Q05066,6736,sry,4,26,2780,0.32449844,0.023,2.757889,80,"[""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""29108"",""3164"",""4591"",""4830"",""5230"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""6812"",""7336"",""7341"",""7409"",""8061"",""8452"",""860"",""8803"",""9892""]","[""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""vav1""]"
21,Q13618,8452,cul3,4,24,2348,0.30989358,0.015,3.1135163,80,"[""10987"",""11315"",""1978"",""2060"",""22858"",""29108"",""3164"",""4591"",""4830"",""5230"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""6812"",""7336"",""7341"",""7409"",""8061"",""8452"",""860"",""8803""]","[""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nr4a1"",""park7"",""pgk1"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""runx2"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""vav1""]"
22,P78563,104,adarb1,4,24,2489,0.30502036,0.019,3.1973124,81,"[""10987"",""11315"",""1978"",""2060"",""22858"",""29108"",""3164"",""4591"",""4830"",""5230"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""6812"",""7336"",""7341"",""7409"",""8061"",""8452"",""860"",""8803""]","[""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nr4a1"",""park7"",""pgk1"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""runx2"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""vav1""]"
23,Q9HC62,59343,senp2,4,27,2472,0.31206694,0.019,2.8743105,81,"[""10987"",""11315"",""1978"",""2060"",""29108"",""3164"",""4591"",""4830"",""5230"",""54205"",""5478"",""5515"",""5604"",""5688"",""5901"",""6596"",""6812"",""7336"",""7341"",""7384"",""7409"",""7516"",""8061"",""8452"",""860"",""8803"",""9892""]","[""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""map2k1"",""nme1"",""nr4a1"",""park7"",""pgk1"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""ran"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""uqcrc1"",""vav1"",""xrcc2""]"
24,P27361,5595,mapk3,4,32,3498,0.54672116,0.022,1.824841,84,"[""10286"",""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""29108"",""310"",""3164"",""4591"",""4830"",""5230"",""5291"",""54205"",""5478"",""5515"",""5604"",""5688"",""57142"",""5901"",""6596"",""6812"",""7336"",""7341"",""7384"",""7409"",""8061"",""8452"",""860"",""8803"",""9892""]","[""anxa7"",""bcas2"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""pik3cb"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""ran"",""rtn4"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""uqcrc1"",""vav1""]"
25,Q9BZR6,65078,rtn4r,4,24,2329,0.29337332,0.02,3.5126562,85,"[""10987"",""1978"",""2060"",""22858"",""27020"",""3164"",""4591"",""4830"",""5230"",""54205"",""5478"",""5515"",""5604"",""5688"",""57142"",""6596"",""6812"",""7336"",""7341"",""7409"",""8061"",""860"",""8803"",""9892""]","[""cops5"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""pgk1"",""ppia"",""ppp2ca"",""psma7"",""rtn4"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""vav1""]"
26,P20645,4074,m6pr,4,29,3295,0.4183781,0.041,2.0279398,86,"[""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""29108"",""310"",""3164"",""4591"",""4830"",""5230"",""5291"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""6812"",""7336"",""7341"",""7384"",""7409"",""8061"",""8452"",""860"",""8803"",""9892""]","[""anxa7"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""pik3cb"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""uqcrc1"",""vav1""]"
27,P49792,5903,ranbp2,4,26,2728,0.3606964,0.026,2.556955,86,"[""10987"",""11315"",""1978"",""2060"",""22858"",""3164"",""4591"",""4830"",""5230"",""54205"",""5478"",""5515"",""5604"",""5688"",""5901"",""6596"",""6812"",""7336"",""7341"",""7409"",""7516"",""8061"",""8452"",""860"",""8803"",""9892""]","[""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nr4a1"",""park7"",""pgk1"",""ppia"",""ppp2ca"",""psma7"",""ran"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""vav1"",""xrcc2""]"
