NM_145690,YWHAZ
NM_003404,YWHAB
NM_024885,TAF7L
NM_004449,ERG
NM_018230,NUP133
NM_018686,CMAS
NM_017980,LIMS2
NM_003160,AURKC
NM_002922,RGS1
NM_016212,TP53TG3
NM_001387,DPYSL3
NM_006387,CHERP
NM_018140,CEP72
NM_032345,PYM1
NM_030906,STK33
NM_203291,RBBP8
NM_007177,FAM107A
NM_152736,ZSCAN26
NM_022491,SUDS3
NM_003113,SP100
NM_013242,CFAP20
NM_145865,ANKS4B
NM_005158,ABL2
NM_201567,CDC25A
NM_001626,AKT2
NM_032728,PLPP7
NM_152266,FAAP24
NM_005517,HMGN2
NM_022347,TOR1AIP2
NM_024546,RNF219
NM_003720,PSMG1
NM_031465,RHNO1
NM_017856,GEMIN8
NM_030575,CPTP
NM_001284280,PPP4R3A
NM_199054,MKNK2
NM_003318,TTK
NM_001010844,IRAK1BP1
NM_022772,EPS8L2
NM_001023,RPS20
NM_015534,ZZZ3
NM_001004285,DFFB
NM_021643,TRIB2
NM_175923,MGC42630
NM_001018061,MRNIP
NM_018230,NUP133
NM_004454,ETV5
NM_005544,IRS1
NM_175571,GIMAP8
NM_017544,NKRF
NM_006231,POLE
NM_014395,DAPP1
NM_005255,GAK
NM_001819,CHGB
NM_139355,MATK
NM_012224,NEK1
NM_016224,SNX9
NM_006449,CDC42EP3
NM_002989,CCL21
NM_005157,ABL1
NM_178552,TEX33
NM_016403,CWC15
NM_020168,PAK6
NM_004092,ECHS1
NM_021639,GPBP1L1
NM_006110,CD2BP2
NM_014456,PDCD4
NM_014972,TCF25
NM_021639,GPBP1L1
NM_006110,CD2BP2
NM_014456,PDCD4
NM_014972,TCF25